ID,condition,condition_code,age,gender,initial_confidence,initial_satisfaction,choice_difficulty,product_involvement,category_knowledge,prior_return_frequency,platform_use_frequency,ad_skepticism,maximizing_tendency,price_sensitivity,IDN1,IDN2,IDN3,SIM1,SIM2,SIM3,ADV1,ADV2,ADV3,REP1,REP2,REP3,PAL1,PAL2,PAL3,PAL4,TRU1,TRU2,TRU3,TRU4,CLO1,CLO2,CLO3,CLO4,CLO5,CFT1,CFT2,CFT3,CFT4,REG1,REG2,REG3,REG4,RET1,RET2,RET3,RET4,RET5,AVO1,AVO2,AVO3,AVO4,AVO5,IRR1,IRR2,IRR3,IRR4,IRR5,ACC1,ACC2,ACC3,FIT1,FIT2,FIT3,PAL,Trust,Closure,Counterfactual,Regret,Return,Avoidance,Irritation,Accuracy,CurrentFit,same_vs_rest,superior_vs_rest
S1-0001,Unrelated,0,29,Male,3,6,4,5,3,3,6,4,4,5,2,2,2,2,3,2,3,2,2,2,2,2,4,3,4,5,5,5,4,6,6,6,6,7,7,2,2,1,2,2,2,2,2,2,3,3,3,5,2,2,3,3,3,5,4,4,5,5,4,4,3,4,6,5,4.0,5.0,6.4,1.75,2.0,2.8,2.6,4.6,3.6666666666666665,5.0,-0.3333333333333333,-0.3333333333333333
S1-0002,Superior-alternative,3,38,Female,7,6,3,6,4,3,5,4,5,4,2,2,2,5,6,4,5,5,5,5,5,5,5,5,5,4,4,5,5,4,3,3,2,2,2,6,6,5,6,4,6,6,6,6,5,6,4,3,2,2,2,2,3,4,4,4,5,4,4,5,5,3,3,3,4.75,4.5,2.4,5.75,5.5,5.2,2.2,4.2,4.666666666666667,3.0,-0.3333333333333333,1.0
S1-0003,Superior-alternative,3,34,Female,6,6,4,5,4,1,6,4,4,6,2,2,1,6,7,7,5,6,6,5,5,4,5,4,5,5,4,4,5,5,2,3,1,3,1,5,5,4,5,5,6,6,5,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,5,5,5,4,3,3,4.75,4.5,2.0,4.75,5.5,4.0,4.0,4.4,5.0,3.3333333333333335,-0.3333333333333333,1.0
S1-0004,Similar-product,2,27,Male,3,4,4,3,4,3,5,5,4,3,1,1,2,5,6,6,4,4,5,4,5,5,4,3,2,3,4,5,4,5,6,5,5,5,6,3,2,2,4,2,2,2,2,2,2,3,2,5,3,4,4,3,3,5,4,4,5,3,4,4,5,3,3,3,3.0,4.5,5.4,2.75,2.0,2.4,3.4,4.2,4.333333333333333,3.0,-0.3333333333333333,-0.3333333333333333
S1-0005,Same-product,1,42,Male,5,7,5,5,5,2,7,3,4,7,7,6,7,7,6,6,2,2,2,6,6,6,3,3,3,3,4,3,3,3,4,5,4,5,5,3,2,3,2,4,3,3,2,2,3,3,2,5,6,6,5,6,6,4,6,5,5,6,6,5,6,3,2,3,3.0,3.25,4.6,2.5,3.0,2.6,5.8,5.2,5.666666666666667,2.6666666666666665,1.0,-0.3333333333333333
S1-0006,Unrelated,0,23,Male,4,6,3,4,5,3,4,3,5,5,2,1,1,2,2,1,3,2,2,3,2,2,5,4,4,5,4,4,5,5,5,6,5,5,5,3,2,2,2,3,3,2,3,3,2,3,2,5,2,3,3,3,3,2,3,2,3,3,3,4,3,4,3,4,4.5,4.5,5.2,2.25,2.75,2.6,2.8,2.6,3.3333333333333335,3.6666666666666665,-0.3333333333333333,-0.3333333333333333
S1-0007,Similar-product,2,27,Female,7,5,4,4,4,3,4,4,6,6,2,3,1,6,6,6,3,3,4,5,5,5,4,4,5,4,4,5,6,5,4,4,3,3,4,4,3,5,4,4,3,2,2,2,3,3,4,5,4,4,5,4,4,3,5,5,3,5,4,3,3,3,3,5,4.25,5.0,3.6,4.0,2.75,3.0,4.2,4.2,3.3333333333333335,3.6666666666666665,-0.3333333333333333,-0.3333333333333333
S1-0008,Unrelated,0,36,Female,6,5,3,4,5,3,4,5,5,4,1,1,3,1,2,1,2,2,3,3,3,2,6,6,5,5,6,5,5,5,6,5,6,7,6,3,2,2,2,2,1,2,1,2,1,1,1,6,2,2,2,3,1,2,3,2,2,1,5,4,4,4,5,4,5.5,5.25,6.0,2.25,1.5,1.4,2.0,2.0,4.333333333333333,4.333333333333333,-0.3333333333333333,-0.3333333333333333
S1-0009,Superior-alternative,3,18,Male,5,5,5,5,5,3,3,5,4,6,2,1,1,6,6,6,5,7,7,4,3,4,6,5,6,6,4,3,5,6,2,2,1,2,2,6,5,7,6,6,6,6,6,4,4,4,5,3,2,3,3,2,2,5,5,4,3,4,4,4,3,2,3,3,5.75,4.5,1.8,6.0,6.0,4.4,2.4,4.2,3.6666666666666665,2.6666666666666665,-0.3333333333333333,1.0
S1-0010,Similar-product,2,35,Female,5,5,4,5,3,4,7,5,5,4,2,2,2,5,7,5,2,3,3,5,4,4,3,4,4,4,5,4,4,5,3,4,3,3,3,4,4,5,6,5,5,5,4,4,3,4,5,3,4,4,3,5,4,4,3,4,4,5,5,6,4,3,3,2,3.75,4.5,3.2,4.75,4.75,4.2,4.0,4.0,5.0,2.6666666666666665,-0.3333333333333333,-0.3333333333333333
