ID,condition,condition_code,acknowledge_purchase,postpurchase_support,interaction,age,gender,initial_confidence,initial_satisfaction,price_sensitivity,PAL1,PAL2,PAL3,PAL4,PAL,TRU1,TRU2,TRU3,TRU4,Trust,CLO1,CLO2,CLO3,CLO4,CLO5,Closure,CFT1,CFT2,CFT3,CFT4,Counterfactual,REG1,REG2,REG3,REG4,Regret,MAN1,MAN2,MAN3,MAN4,MAN5,ManipIntent,IRR1,IRR2,IRR3,IRR4,IRR5,Irritation,choice_reversal,behavior_choice,view_policy,hide_ad
S2-0001,Ack+Support,3,1,1,1,28,Female,5,6,5,4,4,5,5,4.5,7,6,5,6,6.0,6,6,6,5,6,5.8,2,2,2,2,2.0,2,1,1,2,1.5,3,3,2,3,4,3.0,2,3,2,3,2,2.4,0,Retain,0,0
S2-0002,NoAck+Support,2,0,1,0,28,Male,5,5,5,4,4,4,4,4.0,5,5,4,6,5.0,5,5,4,4,5,4.6,2,3,2,3,2.5,4,3,4,4,3.75,4,4,3,3,2,3.2,2,2,2,3,4,2.6,1,Cancel,0,0
S2-0003,NoAck+Alternative,0,0,0,0,35,Female,5,4,5,4,3,3,4,3.5,3,3,3,4,3.25,3,4,3,4,4,3.6,4,3,5,4,4.0,4,4,2,4,3.5,5,4,3,4,4,4.0,4,4,3,4,4,3.8,0,Retain,0,0
S2-0004,Ack+Support,3,1,1,1,32,Female,5,4,6,5,4,5,5,4.75,5,5,7,5,5.5,6,4,5,4,5,4.8,3,3,3,3,3.0,2,2,3,2,2.25,2,3,3,3,2,2.6,2,2,2,1,1,1.6,0,Retain,0,0
S2-0005,NoAck+Alternative,0,0,0,0,32,Female,4,4,4,4,5,4,5,4.5,4,5,4,3,4.0,3,3,3,4,3,3.2,3,4,4,4,3.75,4,4,4,5,4.25,5,4,3,5,4,4.2,5,5,6,5,5,5.2,0,Retain,0,0
S2-0006,NoAck+Support,2,0,1,0,29,Male,7,3,6,4,5,4,4,4.25,5,5,6,6,5.5,5,4,5,4,5,4.6,4,3,2,3,3.0,3,3,3,3,3.0,2,3,2,2,1,2.0,2,3,3,3,3,2.8,0,Retain,1,0
S2-0007,Ack+Support,3,1,1,1,18,Male,5,6,5,5,5,5,5,5.0,5,6,5,6,5.5,6,6,6,5,6,5.8,4,4,3,3,3.5,3,3,3,2,2.75,2,1,2,2,2,1.8,2,2,1,2,2,1.8,0,Retain,0,0
S2-0008,NoAck+Support,2,0,1,0,27,Female,5,6,5,5,5,4,4,4.5,5,5,6,6,5.5,4,4,4,5,4,4.2,3,3,3,3,3.0,3,2,2,3,2.5,3,3,3,3,2,2.8,2,2,3,1,2,2.0,1,Cancel,0,0
S2-0009,Ack+Alternative,1,1,0,0,26,Female,5,5,6,7,6,6,6,6.25,4,4,4,4,4.0,5,4,5,5,3,4.4,3,4,4,4,3.75,4,4,3,4,3.75,5,6,6,5,6,5.6,3,1,1,3,3,2.2,0,Retain,0,0
S2-0010,NoAck+Alternative,0,0,0,0,23,Female,4,5,3,5,4,3,3,3.75,4,5,4,5,4.5,3,4,4,3,3,3.4,5,5,4,5,4.75,5,4,5,5,4.75,5,4,4,4,6,4.6,4,4,4,5,5,4.4,0,Retain,0,0
